"","module","lib95502","lib95503","lib95504","lib95505","lib95506","lib95507","lib95509","lib95510","lib95511","lib95512","lib95513","lib95514","lib95515","lib95516","lib95517","lib95518","lib95519","lib95520","lib95521","lib95522","lib95523","lib95524","lib95525","lib95526","lib95527","lib95528","lib95529","lib95530","lib95531"
"11","10",5.38771255981017,5.410644875881,5.43166714126205,5.33094713766493,5.31671532777529,5.37607396881369,5.36967851760076,4.95867408403738,5.4113772031055,5.38231025355987,5.37716445243551,5.40886935321131,1.29053894157612,5.19708830955825,5.33664027851483,5.43543333683762,5.40161354100781,5.44603088641292,5.48574318933513,5.41317608419334,5.3584817258605,5.41528729523665,5.42537316102929,5.34936981028581,5.36592283737692,5.47478624113945,5.33970048022501,5.27873783742841,5.45119414887818
"12","11",4.597421978965,4.71059497505467,4.8675677885379,4.58369905732163,4.20911967083253,4.66208282655745,4.72294814291379,1.21336424139025,1.54611959910205,4.76938540026114,4.72158899444189,4.84921372721088,4.13610682220458,3.54674537616888,4.88842651926283,4.74712567816257,4.65006860839911,4.92191002124269,4.75605604729444,4.68462010241641,4.6818314503147,4.72729506290275,4.59196812477791,4.82699999360608,4.69366981838137,4.73165714192408,4.78565263209046,4.7024288145122,4.65888080634617
"13","12",-1.22193693074044,-1.02977511343012,-2.07269155298504,-0.762827971450172,-0.902595573451149,-1.55052403992249,-2.2404058514701,-0.677753178072728,-0.127934290981856,-0.536481950058025,-1.29849885309326,-0.501425112816547,-0.887660629793199,0.837289318706318,-0.792853251801525,-1.13123509703157,-1.10371169449168,-0.836145418098932,-1.81951391953946,-2.08214193201677,-2.22729919956264,-2.02028777156226,-2.14647075600496,-1.18586234509746,-0.943313572615762,-1.26407279815901,-0.631460898438389,-0.58027363889307,-2.12081851616144
"14","13",6.74296450435166,6.81691728787264,6.17499903766346,5.99926126620148,6.26542460593518,6.73168461584344,6.34985012399404,5.8061023094263,5.96626202555703,6.75526833070849,6.62119973195909,6.64478289818189,6.11537480017327,6.70033751349312,6.87787787683738,5.94742592960609,6.02265303420409,6.78609945871801,5.35346954995826,5.8147072743251,6.58333884750109,5.92564632030451,5.68807522479553,6.7749132191686,6.05366950473075,5.97469514336237,6.77489691146486,6.17794192750659,5.84661979683993
"15","14",2.43555558062891,4.66319058857787,1.82212345562584,2.85190019926343,2.42604394141236,2.24032322727408,1.83054168630817,2.76442182258844,3.01036839558455,2.73738516022512,4.51837579772435,2.7038921525125,2.49956033117496,2.06757582643556,2.56179428987463,2.61979630340506,2.48822579744688,2.83759004904473,2.4756298374734,2.17902196131796,1.63875157945564,2.17619662191618,2.00882640602623,2.35896621791156,2.71825892862637,2.53472282475005,2.72732947855002,2.92663586329253,2.03093437068283
"16","15",5.89642138536235,7.93341372297454,6.21144100618218,5.7783321039564,5.80341831366487,5.84921017099283,6.22224766172961,5.78632885733748,5.67029136500202,5.90666236655362,7.68960115832775,5.81086561123132,5.38078399214915,5.71337790953219,6.06000476820925,5.85042453937674,5.83041755938942,6.44556112598864,6.04062915839449,5.96010164823544,6.28668786028666,5.86110053659567,5.83155142630283,5.80651417909801,5.84103470741033,5.8514591983516,5.81242708343523,5.80307988570371,5.88529603693523
"17","16",4.23652097573887,4.58404802883372,4.79450830820809,3.76455338663562,3.11259294398136,4.25824470309091,4.49999126882138,2.03621248262459,1.94750673839752,4.41901353214389,4.52773955951896,4.45173663118017,2.10475193372893,0.0791593735557025,4.5513157229374,3.97974578212098,3.58149336624896,4.59460239347995,3.8542662713472,3.69426508345467,4.55829528018925,3.85430452139705,3.30017104807659,4.49013011582382,3.8766842487568,3.68191579263852,4.3843585851672,3.79641491542463,3.53911504412638
"18","17",6.16139471850577,5.84037234020491,6.39288043590673,5.36791161238611,4.51594591750119,6.1895944430185,5.9776131793798,5.17042036503407,5.04490391818675,6.29903654479022,5.84460497323159,6.34586087281802,5.72149592679814,4.14270216197455,6.19958353062171,5.1956726638777,4.72709816410678,6.05542749279854,4.90230852482108,4.5898107253437,6.00707032774548,5.10390421675805,4.34639499300939,6.36198391433755,5.29438381010937,4.6101739221769,6.33310147370978,5.27615932782249,4.41663060027163
"19","18",5.60098922843489,5.40360294389892,5.49778670116777,6.31163126160053,5.70598921150965,5.54332298018832,5.14632487749612,6.59081832943663,3.40716165069757,5.61421194471825,5.33326575688611,5.66282620452205,6.40620389089188,5.33873009464411,5.41780388252345,6.27289492138156,5.86713347982048,5.50118232690507,6.28737099537349,5.91167292509427,5.31539029812601,6.32554462746409,5.85057346395876,5.71490104487482,6.27839777623689,5.94955507395906,5.58830323992894,6.2063938038627,5.84806486758623
"20","19",7.37630934494874,7.13626040420535,6.25725263341933,7.09635252795723,7.09599859019042,7.37803511552342,5.93078355975911,6.55826348867259,6.40233481952045,7.37277903249858,7.00424217943065,6.62810538285161,6.77019333734478,6.92807044661357,6.44135724588943,6.9800415364497,7.05992318366553,6.42291938956449,6.74410509531118,7.01603010469844,5.83604767085839,7.00271931039532,6.94817416497039,6.68776845844732,7.16905249771631,7.05881699777753,6.65279079737038,7.08228690237082,7.01719471052719
